symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
SO,The Southern Company,83.925,0.8714,0.725,83.23,84.02,94.45,65.8,91954944000.0,84.1948,83.8065,NYSE,1173651.0,4409064.0,83.88,83.2,4.25,19.75,2025-02-20T13:30:00.000+0000,1095680000.0,1738778042
SHW,The Sherwin-Williams Company,362.94,1.4961,5.35,356.68,363.62,400.42,282.09,91407527820.0,361.695,345.74396,NYSE,474517.0,1924874.0,360.31,357.59,10.55,34.4,2025-04-21T12:30:00.000+0000,251853000.0,1738778023
BTI,British American Tobacco p.l.c.,40.945,1.7773,0.715,40.78,41.16,41.16,28.25,90117407270.0,37.2468,34.71685,NYSE,3382383.0,3886705.0,41.02,40.23,-7.82,-5.24,2025-02-13T07:00:00.000+0000,2200938021.0,1738778043
WM,"Waste Management, Inc.",224.4989,1.0619,2.3589,223.02,224.8882,230.39,187.48,90106225497.0,213.2874,210.58286,NYSE,457251.0,1714289.0,223.6,222.14,6.75,33.26,2025-04-22T10:59:00.000+0000,401366000.0,1738778004
EQIX,"Equinix, Inc.",932.985,0.9418,8.705,924.11,936.075,994.03,684.14,90022043277.0,940.8274,845.79065,NASDAQ,123873.0,527677.0,934.93,924.28,11.18,83.45,2025-02-12T21:00:00.000+0000,96488200.0,1738778013
MCO,Moody's Corporation,494.76,0.3305,1.63,491.645,497.895,505.78,360.05,89650512000.0,482.9542,453.52875,NYSE,181283.0,619622.0,496.8,493.13,10.92,45.31,2025-02-13T13:30:00.000+0000,181200000.0,1738778018
BN,Brookfield Corporation,59.26,1.1781,0.69,58.35,59.445,62.78,38.18,89386598800.0,58.59,50.13695,NYSE,592376.0,2097577.0,58.88,58.57,0.46,128.83,2025-02-13T13:30:00.000+0000,1508380000.0,1738778024
MO,"Altria Group, Inc.",52.66,0.076,0.04,52.41,52.92,58.04,39.25,89248694600.0,53.781,50.1319,NYSE,1793219.0,7812437.0,52.91,52.62,6.51,8.09,2025-04-24T04:00:00.000+0000,1694810000.0,1738778047
PH,Parker-Hannifin Corporation,689.71,0.0014,0.01,685.17,694.87,718.44,492.71,88810507460.0,670.6404,598.83685,NYSE,169010.0,626974.0,693.04,689.7,24.0,28.74,2025-04-30T12:30:00.000+0000,128764999.0,1738777938
WELL,Welltower Inc.,141.84,2.146,2.98,139.38,141.88,141.88,85.4,88322349600.0,130.9018,118.50115,NYSE,579827.0,2760789.0,140.32,138.86,1.56,90.92,2025-02-11T21:00:00.000+0000,622690000.0,1738778013
AMT,American Tower Corporation,187.73,1.9551,3.6,184.818,188.2,243.56,170.46,87724163970.0,191.5182,204.26935,NYSE,575854.0,2569025.0,186.81,184.13,4.15,45.24,2025-02-25T12:00:00.000+0000,467289000.0,1738778047
DUK,Duke Energy Corporation,113.52,0.9695,1.09,112.45,113.57,121.25,90.09,87692156640.0,110.393,109.09865,NYSE,1408535.0,3252708.0,113.14,112.43,5.57,20.38,2025-02-13T12:00:00.000+0000,772482000.0,1738778055
CME,CME Group Inc.,241.74,-0.3257,-0.79,241.06,243.33,249.02,190.7,87113184660.0,234.3826,216.6286,NASDAQ,567450.0,2125483.0,243.33,242.53,9.51,25.42,2025-02-12T14:30:00.000+0000,360359000.0,1738778010
DUKB,Duke Energy Corporation 5.625% ,24.73,0.4468,0.11,24.5327,24.77,25.5,23.3,86885325633.0,24.2838,24.7091,NYSE,12815.0,47269.0,24.68,24.62,0.0,,2023-03-31T00:00:00.000+0000,3513357284.0,1738776286
MSTR,MicroStrategy Incorporated,345.71,-0.7465,-2.6,338.8864,352.35,543.0,46.749,86867475783.0,365.9412,215.19244,NASDAQ,5194131.0,27715496.0,349.0,348.31,-2.47,-139.96,2025-02-05T21:00:00.000+0000,251272673.0,1738778049
PBR,Petróleo Brasileiro S.A. - Petrobras,13.9299,-1.4161,-0.2001,13.88,14.0299,17.91,12.55,85386153511.0,13.7528,14.57155,NYSE,4932809.0,14330271.0,13.99,14.13,2.56,5.44,2025-02-26T19:00:00.000+0000,6129703265.0,1738778049
HCA,"HCA Healthcare, Inc.",335.1,0.0896,0.3,334.5605,338.0,417.14,289.98,84879824700.0,315.489,344.84335,NYSE,297990.0,1545352.0,337.5,334.8,22.0,15.23,2025-04-24T12:30:00.000+0000,253297000.0,1738778047
INTC,Intel Corporation,19.59,1.5552,0.3,18.91,19.73,46.63,18.51,84824700000.0,21.0016,25.3117,NASDAQ,34132254.0,73731876.0,19.202,19.29,-4.36,-4.49,2025-04-23T20:00:00.000+0000,4330000000.0,1738778048
TEAM,Atlassian Corporation,319.72,0.944,2.99,314.4392,320.73,324.37,135.29,84076751775.0,261.6866,197.603,NASDAQ,539679.0,2090791.0,316.74,316.73,-1.36,-235.09,2025-04-24T04:00:00.000+0000,262969948.0,1738778051
APH,Amphenol Corporation,69.505,-0.2941,-0.205,69.02,70.35,79.39,51.135,83795923050.0,71.9734,67.066574,NYSE,2255302.0,6885206.0,70.21,69.71,1.92,36.2,2025-04-22T12:30:00.000+0000,1205610000.0,1738778045
SAN,"Banco Santander, S.A.",5.6099,9.3548,0.4799,5.5133,5.61,5.61,3.87,83333293606.0,4.758,4.8502,NYSE,4992234.0,3130603.0,5.535,5.13,0.77,7.29,2025-02-05T05:00:00.000+0000,14854684327.0,1738778027
RACE,Ferrari N.V.,462.64,0.7272,3.34,457.58,464.15,498.23,375.31,82997888495.0,433.4624,438.77704,NYSE,307153.0,280430.0,460.41,459.3,8.82,52.45,2025-02-06T05:00:00.000+0000,179400589.0,1738777617
CDNS,"Cadence Design Systems, Inc.",302.375,0.9027,2.705,295.835,303.73,328.99,241.29,82930274625.0,305.2666,288.08774,NASDAQ,334213.0,1564005.0,298.0,299.67,3.81,79.36,2025-02-19T00:00:00.000+0000,274263000.0,1738778044
MMM,3M Company,153.31,1.0746,1.63,150.74,153.3299,155.0,75.652176,82706145700.0,135.108,121.2431,NYSE,1041608.0,3542132.0,152.46,151.68,7.26,21.12,2025-04-28T13:30:00.000+0000,539470000.0,1738778050
